# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 12
# 288 K He at 3 bar, V_He/V_LOX=1.21 min^-1, T0=91 K (warms);
# 114 K He at 3.5 bar, V_He/V_LOX=1.3 min^-1, T0=99 K (cools to 86.8 K at 1500 s).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T288K_P3bar_measured,T114K_P3p5bar_measured,T288K_P3bar_calculated,T114K_P3p5bar_calculated
498,91.6481,91.8818,92.1992,91.1557
499,91.6494,91.8719,92.2018,91.1469
500,91.6507,91.8620,92.2044,91.1386
501,91.6520,91.8521,92.2072,91.1311
502,91.6533,91.8422,92.2099,91.1237
503,91.6546,91.8323,92.2127,91.1162
504,91.6567,91.8224,92.2154,91.1088
505,91.6591,91.8125,92.2182,91.1013
506,91.6616,91.8026,92.2209,91.0939
507,91.6640,91.7927,92.2237,91.0864
508,91.6664,91.7828,92.2265,91.0790
509,91.6688,91.7729,92.2292,91.0715
510,91.6712,91.7630,92.2320,91.0641
511,91.6736,91.7531,92.2347,91.0566
512,91.6760,91.7432,92.2375,91.0492
513,91.6784,91.7333,92.2402,91.0417
514,91.6809,91.7234,92.2430,91.0343
515,91.6833,91.7135,92.2454,91.0269
516,91.6857,91.7036,92.2473,91.0197
517,91.6881,91.6937,92.2493,91.0124
518,91.6905,91.6838,92.2512,91.0051
519,91.6929,91.6739,92.2532,90.9979
520,91.6953,91.6640,92.2551,90.9906
521,91.6978,91.6541,92.2571,90.9833
522,91.7002,91.6442,92.2590,90.9761
523,91.7026,91.6343,92.2610,90.9688
524,91.7050,91.6244,92.2629,90.9615
525,91.7074,91.6145,92.2649,90.9543
526,91.7098,91.6046,92.2668,90.9470
527,91.7122,91.5947,92.2688,90.9398
528,91.7146,91.5848,92.2707,90.9325
529,91.7171,91.5749,92.2727,90.9252
530,91.7195,91.5650,92.2751,90.9182
531,91.7219,91.5551,92.2778,90.9113
532,91.7243,91.5452,92.2806,90.9045
533,91.7267,91.5353,92.2833,90.8976
534,91.7291,91.5254,92.2861,90.8907
535,91.7315,91.5155,92.2888,90.8839
536,91.7339,91.5056,92.2915,90.8770
537,91.7364,91.4957,92.2943,90.8702
538,91.7388,91.4858,92.2970,90.8633
539,91.7412,91.4759,92.2998,90.8564
540,91.7436,91.4660,92.3025,90.8496
541,91.7460,91.4561,92.3053,90.8427
542,91.7484,91.4462,92.3080,90.8359
543,91.7508,91.4362,92.3108,90.8290
544,91.7533,91.4263,92.3135,90.8222
545,91.7557,91.4164,92.3158,90.8154
546,91.7581,91.4065,92.3177,90.8088
547,91.7605,91.3966,92.3197,90.8021
548,91.7629,91.3867,92.3217,90.7954
549,91.7653,91.3768,92.3236,90.7888
550,91.7677,91.3669,92.3256,90.7821
551,91.7701,91.3570,92.3275,90.7754
552,91.7726,91.3471,92.3295,90.7688
553,91.7750,91.3382,92.3314,90.7621
554,91.7774,91.3298,92.3334,90.7554
555,91.7798,91.3215,92.3354,90.7488
556,91.7822,91.3131,92.3373,90.7421
557,91.7846,91.3048,92.3393,90.7354
558,91.7870,91.2964,92.3412,90.7288
559,91.7894,91.2880,92.3432,90.7221
560,91.7919,91.2797,92.3457,90.7155
561,91.7943,91.2713,92.3484,90.7089
562,91.7967,91.2630,92.3511,90.7023
563,91.7991,91.2546,92.3538,90.6958
564,91.8015,91.2463,92.3565,90.6892
565,91.8039,91.2379,92.3593,90.6826
566,91.8063,91.2296,92.3620,90.6760
567,91.8087,91.2212,92.3647,90.6694
568,91.8112,91.2129,92.3674,90.6629
569,91.8136,91.2045,92.3701,90.6563
570,91.8160,91.1961,92.3728,90.6497
571,91.8184,91.1878,92.3756,90.6431
572,91.8208,91.1794,92.3783,90.6365
573,91.8232,91.1711,92.3810,90.6299
574,91.8255,91.1627,92.3837,90.6234
575,91.8277,91.1544,92.3860,90.6151
576,91.8299,91.1460,92.3879,90.6057
577,91.8320,91.1377,92.3899,90.5962
578,91.8342,91.1293,92.3918,90.5868
579,91.8363,91.1209,92.3938,90.5774
580,91.8385,91.1126,92.3958,90.5680
581,91.8407,91.1042,92.3977,90.5586
582,91.8428,91.0959,92.3997,90.5491
583,91.8450,91.0875,92.4016,90.5397
584,91.8471,91.0792,92.4036,90.5303
585,91.8493,91.0708,92.4055,90.5209
586,91.8515,91.0625,92.4075,90.5114
587,91.8536,91.0541,92.4095,90.5020
588,91.8558,91.0458,92.4114,90.4926
589,91.8579,91.0374,92.4134,90.4832
590,91.8601,91.0290,92.4159,90.4756
591,91.8622,91.0207,92.4186,90.4690
592,91.8644,91.0123,92.4214,90.4623
593,91.8666,91.0040,92.4241,90.4556
594,91.8687,90.9956,92.4269,90.4490
