# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 5
# LOX T vs time, T_LOX,i=91 K, T_He=288 K.
# P=1 bar measured/calculated (V_He/V_LOX=1.39 min^-1, 100 L/min);
# P=3 bar measured/calculated (V_He/V_LOX=1.21 min^-1, 87 L/min).
# Digitized from vector markers (measured) and polylines (calculated); legend frame excluded.
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,P1bar_measured,P3bar_measured,P1bar_calculated,P3bar_calculated
411,88.0610,92.0981,88.7293,92.0306
412,88.0573,92.1003,88.7252,92.0317
413,88.0535,92.1024,88.7211,92.0328
414,88.0498,92.1046,88.7170,92.0339
415,88.0460,92.1067,88.7129,92.0350
416,88.0423,92.1089,88.7088,92.0361
417,88.0388,92.1100,88.7055,92.0376
418,88.0353,92.1110,88.7021,92.0391
419,88.0319,92.1120,88.6988,92.0406
420,88.0284,92.1131,88.6955,92.0420
421,88.0249,92.1141,88.6921,92.0435
422,88.0215,92.1151,88.6888,92.0450
423,88.0180,92.1161,88.6855,92.0465
424,88.0146,92.1172,88.6821,92.0480
425,88.0111,92.1182,88.6788,92.0495
426,88.0076,92.1192,88.6755,92.0509
427,88.0042,92.1203,88.6721,92.0524
428,88.0007,92.1213,88.6688,92.0539
429,87.9972,92.1223,88.6655,92.0554
430,87.9938,92.1233,88.6621,92.0569
431,87.9903,92.1244,88.6588,92.0584
432,87.9868,92.1254,88.6548,92.0595
433,87.9834,92.1264,88.6508,92.0606
434,87.9799,92.1275,88.6467,92.0618
435,87.9765,92.1285,88.6426,92.0629
436,87.9730,92.1295,88.6385,92.0640
437,87.9695,92.1306,88.6345,92.0651
438,87.9661,92.1316,88.6304,92.0662
439,87.9626,92.1326,88.6263,92.0673
440,87.9591,92.1336,88.6222,92.0684
441,87.9557,92.1347,88.6182,92.0695
442,87.9522,92.1357,88.6141,92.0707
443,87.9487,92.1367,88.6100,92.0718
444,87.9453,92.1378,88.6059,92.0729
445,87.9418,92.1388,88.6019,92.0740
446,87.9384,92.1398,88.5978,92.0751
447,87.9349,92.1409,88.5947,92.0765
448,87.9314,92.1419,88.5920,92.0781
449,87.9280,92.1429,88.5893,92.0796
450,87.9245,92.1439,88.5866,92.0812
451,87.9210,92.1450,88.5839,92.0827
452,87.9176,92.1460,88.5812,92.0842
453,87.9141,92.1470,88.5785,92.0858
454,87.9106,92.1481,88.5758,92.0873
455,87.9072,92.1491,88.5731,92.0889
456,87.9037,92.1501,88.5704,92.0904
457,87.9003,92.1511,88.5677,92.0919
458,87.8968,92.1522,88.5650,92.0935
