# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 10
# LOX T vs time, P=1 bar. Experiment only.
# Series assigned from the figure's own arrows (not the swapped prose):
#   black squares  r=1.34 min^-1 -> T_He=114 K (most cooling, ~83.5 K at 600 s)
#   red circles    r=0.50 min^-1 -> T_He=140 K (~85.7 K at 600 s)
#   blue triangles r=1.05 min^-1 -> T_He=288 K (least cooling, ~87.2 K at 600 s)
# Matches Baldwin 2023 Table 2 cases 6/7/8 (dT_exp 4.0 / 4.6 / 6.8 K).
# The prose sentence that puts 288 K at r=1.34 is a typesetting swap; the arrows win.
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,T114K_r1.34_measured,T140K_r0.5_measured,T288K_r1.05_measured
369,85.5850,87.6001,88.4569
370,85.5710,87.5922,88.4494
371,85.5569,87.5842,88.4418
372,85.5429,87.5762,88.4343
373,85.5289,87.5683,88.4267
374,85.5149,87.5603,88.4192
375,85.5009,87.5524,88.4116
376,85.4869,87.5444,88.4041
377,85.4728,87.5365,88.3965
378,85.4588,87.5285,88.3890
379,85.4448,87.5206,88.3814
380,85.4308,87.5126,88.3739
381,85.4168,87.5047,88.3663
382,85.4027,87.4967,88.3588
383,85.3887,87.4888,88.3512
384,85.3747,87.4808,88.3437
385,85.3607,87.4729,88.3361
386,85.3467,87.4649,88.3286
387,85.3327,87.4570,88.3210
388,85.3186,87.4490,88.3135
389,85.3046,87.4411,88.3059
390,85.2906,87.4331,88.2984
391,85.2766,87.4252,88.2908
392,85.2626,87.4172,88.2833
393,85.2486,87.4093,88.2757
394,85.2345,87.4013,88.2682
395,85.2205,87.3934,88.2606
396,85.2065,87.3854,88.2531
397,85.1925,87.3775,88.2455
398,85.1785,87.3695,88.2380
399,85.1645,87.3616,88.2304
400,85.1504,87.3536,88.2229
401,85.1403,87.3416,88.2161
402,85.1303,87.3295,88.2093
403,85.1204,87.3174,88.2025
404,85.1104,87.3053,88.1957
405,85.1004,87.2932,88.1889
406,85.0904,87.2810,88.1821
407,85.0804,87.2689,88.1753
408,85.0704,87.2568,88.1685
409,85.0604,87.2447,88.1617
410,85.0505,87.2326,88.1549
411,85.0405,87.2205,88.1481
412,85.0305,87.2084,88.1413
413,85.0205,87.1962,88.1344
414,85.0105,87.1841,88.1276
415,85.0005,87.1720,88.1208
416,84.9905,87.1599,88.1140
417,84.9806,87.1478,88.1072
418,84.9706,87.1357,88.1004
419,84.9606,87.1235,88.0936
420,84.9506,87.1114,88.0868
421,84.9406,87.0993,88.0800
422,84.9306,87.0872,88.0732
423,84.9206,87.0751,88.0664
424,84.9106,87.0630,88.0596
425,84.9007,87.0508,88.0528
426,84.8907,87.0387,88.0460
427,84.8807,87.0266,88.0391
428,84.8707,87.0145,88.0323
429,84.8607,87.0024,88.0255
430,84.8507,86.9903,88.0187
431,84.8407,86.9782,88.0119
432,84.8308,86.9660,88.0051
433,84.8208,86.9539,87.9983
434,84.8108,86.9418,87.9915
435,84.8008,86.9297,87.9847
436,84.7908,86.9176,87.9779
437,84.7808,86.9055,87.9711
438,84.7708,86.8933,87.9643
439,84.7608,86.8812,87.9575
440,84.7509,86.8691,87.9507
441,84.7409,86.8570,87.9438
442,84.7309,86.8449,87.9370
443,84.7209,86.8328,87.9302
444,84.7109,86.8206,87.9234
445,84.7009,86.8085,87.9166
446,84.6909,86.7964,87.9098
447,84.6810,86.7843,87.9030
448,84.6710,86.7722,87.8962
449,84.6610,86.7601,87.8894
450,84.6510,86.7484,87.8828
451,84.6409,86.7404,87.8771
452,84.6308,86.7325,87.8714
453,84.6207,86.7245,87.8657
454,84.6106,86.7165,87.8599
455,84.6005,86.7086,87.8542
456,84.5904,86.7006,87.8485
457,84.5803,86.6926,87.8428
458,84.5702,86.6847,87.8370
459,84.5601,86.6767,87.8313
460,84.5500,86.6687,87.8256
461,84.5399,86.6608,87.8199
462,84.5298,86.6528,87.8141
463,84.5198,86.6448,87.8084
464,84.5097,86.6369,87.8027
465,84.4996,86.6289,87.7969
466,84.4895,86.6209,87.7912
467,84.4794,86.6130,87.7855
468,84.4693,86.6050,87.7798
469,84.4592,86.5970,87.7740
470,84.4491,86.5891,87.7683
471,84.4390,86.5811,87.7626
472,84.4289,86.5731,87.7569
473,84.4188,86.5651,87.7511
474,84.4087,86.5572,87.7454
475,84.3986,86.5492,87.7397
476,84.3885,86.5412,87.7340
477,84.3784,86.5333,87.7282
478,84.3683,86.5253,87.7225
479,84.3582,86.5173,87.7168
480,84.3481,86.5094,87.7111
481,84.3381,86.5014,87.7053
482,84.3280,86.4934,87.6996
483,84.3179,86.4855,87.6939
484,84.3078,86.4775,87.6882
485,84.2977,86.4695,87.6824
486,84.2876,86.4616,87.6767
487,84.2775,86.4536,87.6710
488,84.2674,86.4456,87.6653
489,84.2573,86.4377,87.6595
490,84.2472,86.4297,87.6538
491,84.2371,86.4217,87.6481
492,84.2270,86.4138,87.6424
493,84.2169,86.4058,87.6366
494,84.2068,86.3978,87.6309
495,84.1967,86.3899,87.6252
496,84.1866,86.3819,87.6195
497,84.1765,86.3739,87.6137
498,84.1664,86.3660,87.6080
499,84.1564,86.3580,87.6023
500,84.1473,86.3500,87.5971
501,84.1414,86.3420,87.5927
502,84.1355,86.3340,87.5884
503,84.1296,86.3259,87.5841
504,84.1236,86.3179,87.5797
505,84.1177,86.3099,87.5754
506,84.1118,86.3019,87.5710
507,84.1059,86.2939,87.5667
508,84.1000,86.2858,87.5624
509,84.0941,86.2778,87.5580
510,84.0882,86.2698,87.5537
511,84.0823,86.2618,87.5494
512,84.0764,86.2537,87.5450
513,84.0705,86.2457,87.5407
514,84.0646,86.2377,87.5363
515,84.0587,86.2297,87.5320
516,84.0528,86.2217,87.5277
517,84.0469,86.2136,87.5233
518,84.0410,86.2056,87.5190
519,84.0350,86.1976,87.5147
520,84.0291,86.1896,87.5103
521,84.0232,86.1816,87.5060
522,84.0173,86.1735,87.5016
523,84.0114,86.1655,87.4973
524,84.0055,86.1575,87.4930
525,83.9996,86.1495,87.4886
526,83.9937,86.1415,87.4843
527,83.9878,86.1334,87.4800
528,83.9819,86.1254,87.4756
529,83.9760,86.1174,87.4713
530,83.9701,86.1094,87.4669
531,83.9642,86.1013,87.4626
532,83.9583,86.0933,87.4583
533,83.9523,86.0853,87.4539
534,83.9464,86.0773,87.4496
535,83.9405,86.0693,87.4452
536,83.9346,86.0612,87.4409
537,83.9287,86.0532,87.4366
538,83.9228,86.0452,87.4322
539,83.9169,86.0372,87.4279
540,83.9110,86.0292,87.4236
541,83.9051,86.0211,87.4192
542,83.8992,86.0131,87.4149
543,83.8933,86.0051,87.4105
544,83.8874,85.9971,87.4062
545,83.8815,85.9890,87.4019
546,83.8756,85.9810,87.3975
547,83.8697,85.9730,87.3932
548,83.8637,85.9650,87.3889
549,83.8578,85.9570,87.3845
550,83.8517,85.9492,87.3805
551,83.8436,85.9433,87.3779
552,83.8356,85.9373,87.3752
553,83.8275,85.9314,87.3726
554,83.8194,85.9254,87.3699
555,83.8113,85.9194,87.3672
556,83.8032,85.9135,87.3646
557,83.7951,85.9075,87.3619
558,83.7871,85.9016,87.3593
559,83.7790,85.8956,87.3566
560,83.7709,85.8897,87.3539
561,83.7628,85.8837,87.3513
562,83.7547,85.8778,87.3486
563,83.7467,85.8718,87.3460
564,83.7386,85.8658,87.3433
565,83.7305,85.8599,87.3406
566,83.7224,85.8539,87.3380
567,83.7143,85.8480,87.3353
568,83.7062,85.8420,87.3327
569,83.6982,85.8361,87.3300
570,83.6901,85.8301,87.3273
571,83.6820,85.8242,87.3247
572,83.6739,85.8182,87.3220
573,83.6658,85.8122,87.3194
574,83.6577,85.8063,87.3167
575,83.6497,85.8003,87.3140
576,83.6416,85.7944,87.3114
577,83.6335,85.7884,87.3087
578,83.6254,85.7825,87.3061
579,83.6173,85.7765,87.3034
580,83.6092,85.7706,87.3007
581,83.6012,85.7646,87.2981
582,83.5931,85.7586,87.2954
583,83.5850,85.7527,87.2928
584,83.5769,85.7467,87.2901
585,83.5688,85.7408,87.2874
586,83.5607,85.7348,87.2848
587,83.5527,85.7289,87.2821
588,83.5446,85.7229,87.2795
589,83.5365,85.7170,87.2768
590,83.5284,85.7110,87.2741
591,83.5203,85.7050,87.2715
592,83.5122,85.6991,87.2688
593,83.5042,85.6931,87.2661
594,83.4961,85.6872,87.2635
595,83.4880,85.6812,87.2608
596,83.4799,85.6753,87.2582
597,83.4718,85.6693,87.2555
598,83.4638,85.6634,87.2528
599,83.4557,85.6574,87.2502
600,83.4498,85.6531,87.2485
