# Cho et al. Cryogenics 46 (2006) 778-793, Fig. 8
# LOX T vs time, P=3 bar, T_He=288 K.
# r=0.81 and 1.21 min^-1 at T0=91 K (subcooled, warming);
# r=1.34 min^-1 at T0=102 K (saturated, cooling).
# 1 Hz linear interpolation of extracted vertices (no cubic overshoot).
time_s,r0.81_measured,r1.21_measured,r1.34_measured,r0.81_calculated,r1.21_calculated,r1.34_calculated
235,91.7289,91.2856,97.3318,91.9428,91.8097,98.3254
236,91.7307,91.2882,97.3232,91.9450,91.8114,98.3139
237,91.7325,91.2908,97.3146,91.9472,91.8131,98.3025
238,91.7343,91.2934,97.3060,91.9493,91.8148,98.2910
239,91.7361,91.2960,97.2973,91.9515,91.8165,98.2796
240,91.7378,91.2986,97.2887,91.9537,91.8182,98.2681
241,91.7396,91.3012,97.2801,91.9558,91.8199,98.2567
242,91.7414,91.3038,97.2714,91.9580,91.8216,98.2453
243,91.7432,91.3064,97.2628,91.9602,91.8233,98.2338
244,91.7457,91.3077,97.2543,91.9623,91.8250,98.2224
245,91.7490,91.3076,97.2458,91.9645,91.8267,98.2109
246,91.7523,91.3074,97.2373,91.9667,91.8284,98.1995
247,91.7556,91.3073,97.2288,91.9688,91.8301,98.1880
248,91.7589,91.3072,97.2203,91.9710,91.8318,98.1766
249,91.7621,91.3071,97.2118,91.9732,91.8335,98.1651
250,91.7654,91.3070,97.2033,91.9753,91.8351,98.1537
251,91.7687,91.3069,97.1948,91.9768,91.8362,98.1427
252,91.7720,91.3067,97.1863,91.9784,91.8373,98.1318
253,91.7753,91.3066,97.1778,91.9799,91.8384,98.1208
254,91.7786,91.3065,97.1693,91.9815,91.8395,98.1098
255,91.7819,91.3064,97.1608,91.9830,91.8406,98.0988
256,91.7851,91.3063,97.1523,91.9846,91.8417,98.0878
257,91.7884,91.3062,97.1438,91.9861,91.8427,98.0768
258,91.7917,91.3060,97.1353,91.9877,91.8438,98.0659
259,91.7950,91.3059,97.1268,91.9892,91.8449,98.0549
260,91.7983,91.3058,97.1183,91.9908,91.8460,98.0439
261,91.8016,91.3057,97.1099,91.9923,91.8471,98.0329
262,91.8049,91.3056,97.1014,91.9939,91.8482,98.0219
263,91.8082,91.3055,97.0929,91.9954,91.8493,98.0110
264,91.8114,91.3053,97.0844,91.9970,91.8503,98.0000
265,91.8147,91.3052,97.0759,91.9985,91.8514,97.9890
266,91.8180,91.3051,97.0674,92.0002,91.8530,97.9793
267,91.8213,91.3050,97.0589,92.0019,91.8545,97.9695
268,91.8246,91.3049,97.0504,92.0036,91.8561,97.9598
269,91.8279,91.3048,97.0419,92.0053,91.8576,97.9500
